home_elo,away_elo,elo_diff,home_form,away_form,form_diff,neutral,is_wc,home_total_goals,away_total_goals,home_total_xg,away_total_xg,home_total_shots,away_total_shots,home_top_scorer_goals,away_top_scorer_goals,home_total_yellow_cards,away_total_yellow_cards
1016.131776380273,985.0510672680495,31.08070911222353,0.6,0.0,0.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
998.7661930458027,1000.6459417334378,-1.8797486876351286,0.5,0.5,0.0,0,0,0.0,5.0,0.0,3.6045950894,0.0,48.0,0.0,2.0,0.0,5.0
985.0,1000.0,-15.0,0.25,0.5,-0.25,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,1000.0,0.0,0.5,0.5,0.0,0,0,9.0,0.0,7.1046272574,0.0,51.0,0.0,3.0,0.0,2.0,0.0
1000.0,1000.0,0.0,0.5,0.5,0.0,0,0,13.0,0.0,8.91128704,0.0,48.0,0.0,3.0,0.0,4.0,0.0
1000.0,1000.0,0.0,0.5,0.5,0.0,0,0,9.0,0.0,8.678369942,0.0,66.0,0.0,2.0,0.0,6.0,0.0
985.0,1001.3893612875594,-16.38936128755938,0.0,0.5,-0.5,0,0,1.0,0.0,3.6944930278,0.0,35.0,0.0,1.0,0.0,5.0,0.0
1000.0,1000.0,0.0,0.5,0.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
958.7230227388573,1000.0,-41.27697726114275,0.125,0.5,-0.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,999.3528000084657,0.6471999915343076,0.5,0.5,0.0,1,0,2.0,0.0,1.234112451,0.0,11.0,0.0,1.0,0.0,6.0,0.0
1000.0,999.793482360763,0.20651763923694944,0.5,0.5,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,983.2262669487711,16.773733051228874,0.5,0.0,0.5,1,0,1.0,0.0,1.4079916985,0.0,20.0,0.0,1.0,0.0,7.0,0.0
1000.6471999915343,1014.3807418458844,-13.733541854350051,0.5,0.75,-0.25,0,0,3.0,0.0,3.9385379416,0.0,46.0,0.0,1.0,0.0,5.0,0.0
975.4967557900861,999.991083917846,-24.4943281277599,0.3,0.5,-0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
999.2763818543314,999.802398442917,-0.5260165885856622,0.5,0.5,0.0,1,0,1.0,0.0,1.4079916985,0.0,20.0,0.0,1.0,0.0,7.0,0.0
998.8473475284565,1000.0,-1.152652471543547,0.5,0.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
